#rmp_snr  rmp_flux 
66  161 
28.2  147.5 
35.6  128.1 
0  128 
19.5  117.6 
25.1  88.6 
27.4  78.9 
110  60 
18.3  53 
15.9  40.7 
13.8  40.5 
23.4  40.5 
12.7  37.8 
23  30 
17  29.6 
9.6  28.7 
411  27.6 
13  27 
12.1  24.2 
16  24.1 
10.4  23.3 
10.2  23.1 
13.8  22.2 
10.9  22 
8  21 
11.8  19.6 
13  19.4 
12  19.23 
12.4  17.5 
9.8  16.5 
11  15.75 
9.5  14.8 
194  12.3 
17  10.19 
10.5  7.7 
13  7 
20  5.19 
12  4.3 
13  3 
39  2.2 
29  1.91 
40  1.48 
6.2  1.4 
49  1.3 
30  1.14 
30  1.12 
21  0.74 
19  0.7 
18  0.7 
42  0.6 
22  0.6 
8.3  0.54 
16  0.5 
11  0.5 
16  0.5 
16  0.471 
16  0.43 
17  0.42 
16.3  0.41 
11  0.4 
14  0.4 
17  0.3 
10  0.3 
11  0.25 
14  0.22 
9.1  0.22 
11.5  0.15 
8.4  0.039 

