#frb_name telescope rop_raj rop_decj z D_lum D_cov
FRB010125 parkes 19:06:53 -40:37:14 0.57 3.33 2.13
FRB010312 parkes 05:26:54.9 -64:56:19.2 0.95 6.26 3.22                            
FRB010621 parkes 18:52:05 -08:29:35 0.19 0.92 0.77
FRB010724 parkes 01:18:06 -75:12:18 0.28 1.42 1.11
FRB090625 parkes 03:07:47 -29:55:36 0.72 4.49 2.60
FRB110214 parkes 01:21:17 -49:47:11 0.14 0.67 0.58
FRB110220 parkes 22:34:38 -12:23:45 0.76 4.76 2.71
FRB110523 GBT 21:45:12 -00:09:37 0.48 2.75 1.85
FRB110626 parkes 21:03:43 -44:44:19 0.56 3.30 2.11
FRB110703 parkes 23:30:51 -02:52:24 0.89 5.82 3.08
FRB120127 parkes 23:15:06 -18:25:38 0.43 2.42 1.69
FRB121002 parkes 18:14:47 -85:11:53 1.30 9.25 4.03
FRB121102 arecibo 05:32:09 33:05:13 0.31 1.61 1.23
FRB130626 parkes 16:27:06 -07:27:48 0.74 4.60 2.65
FRB130628 parkes 09:03:02 03:26:16 0.35 1.86 1.38
FRB130729 parkes 13:41:21 -05:59:43 0.69 4.25 2.51
FRB131104 parkes 06:44:10 -51:16:40 0.59 3.50 2.20
FRB140514 parkes 22:34:06 -12:18:46 0.44 2.46 1.71
FRB141113 arecibo 06:13:00.1 18:47:11.2 0.15 0.72 0.62
FRB150215 parkes 18:17:27 -04:54:15 0.57 3.32 2.12
FRB150418 parkes 07:16:35 -19:00:40 0.49 2.79 1.87
FRB150610 parkes 10:44:26 -40:05:23 1.20 8.41 3.82
FRB150807 parkes 22:42:31 -55:04:42 0.19 0.94 0.79
FRB151018 Pushchino 05:21:00 33:06:00 0.24 1.21 0.98
FRB151206 parkes 19:21:25 -04:07:54 1.50 11.09 4.44
FRB151230 parkes 09:40:50 -03:27:05 0.80 5.08 2.82
FRB160102 parkes 22:38:49 -30:10:50 2.10 16.80 5.42
FRB160317 UTMOST 07:53:47 -29:36:31 0.70 4.35 2.55
FRB160410 UTMOST 08:41:25 06:05:05 0.18 0.90 0.76
FRB160608 UTMOST 07:36:42 -40:47:52 0.37 2.00 1.46
FRB160920 Pushchino 05:34:00 41:45:00 1.20 8.41 3.82 
FRB170107 ASKAP 11:23.3 -05:00 0.48 2.72 1.84
FRB170416 ASKAP 22:13 -55:02 0.40 2.21 1.58 
FRB170428 ASKAP 21:47 -41:51 0.79 5.03 2.80  
FRB170707 ASKAP 02:59 -57:16 0.17 0.80 0.69
FRB170712 ASKAP 22:36 -60:57 0.23 1.15 0.94
FRB170827 UTMOST 00:49:18.66 -65:33:02.3 0.12 0.54 0.49
FRB170906 ASKAP 21:59.8 -19:57 0.29 1.52 1.18
FRB170922 UTMOST 21:29:50.61 -07:59:40.49 1.20 8.41 3.82
FRB171003 ASKAP 12:29.5 -14:07 0.35 1.89 1.40
